Date,Close,Sentiment,RSI,EMA_Fast,EMA_Slow,Buy_Signal,Sell_Signal
2024-01-02,248.4199981689453,40.85714285714286,,248.4199981689453,248.4199981689453,False,False
2024-01-03,238.4499969482422,32.79103280038347,,246.607270674272,247.77677228373867,False,False
2024-01-04,237.92999267578125,32.87024612568856,,245.0295837654555,247.14149617999948,False,False
2024-01-05,237.49000549316406,33.00887458318713,,243.65875135231158,246.51881936149397,False,False
2024-01-08,240.4499969482422,35.91432967939304,,243.0753414606626,246.12728243160677,False,False
2024-01-09,234.9600067138672,31.735141206446148,,241.59982605215433,245.4068130304623,False,False
2024-01-10,233.94000244140625,31.46214399866764,,240.20713085020012,244.6670187989103,False,False
2024-01-11,227.22000122070312,26.49636662966151,,237.84583455392792,243.54140476160663,False,False
2024-01-12,218.88999938964844,20.43300184347797,,234.39931906951344,241.9509915118029,True,False
2024-01-16,219.91000366210938,22.487820036528625,,231.76489808634904,240.52899229569366,True,False
2024-01-17,215.5500030517578,19.89882015254312,,228.816735352787,238.9174446025365,True,False
2024-01-18,211.8800048828125,19.42857142857143,,225.73732981279161,237.1730936528769,True,False
2024-01-19,212.19000244140625,19.596725357457498,,223.27417938163063,235.561281316653,True,False
2024-01-22,208.8000030517578,13.600000000000001,8.900404389721032,220.64251095801737,233.83474723504688,True,False
2024-01-23,209.13999938964844,13.679194788253985,9.538507869565265,218.5511452183139,232.24153769663408,True,False
2024-01-24,207.8300018310547,13.749606784545062,11.609810933227834,216.6018464206304,230.66659989885477,True,False
2024-01-25,182.6300048828125,13.600000000000001,7.171610885553818,210.42514795920897,227.56746473652947,True,False
2024-01-26,183.25,13.600000000000001,8.109340084222694,205.4842119666255,224.70827346320502,True,False
2024-01-29,190.92999267578125,13.600000000000001,14.353569505609357,202.8379902773811,222.52902954143576,True,False
2024-01-30,191.58999633789062,13.600000000000001,16.447456801187826,200.792900470201,220.53296288314255,True,False
2024-01-31,187.2899932861328,13.600000000000001,15.653057634013251,198.33782643673405,218.38825516720644,True,False
2024-02-01,188.86000061035156,13.600000000000001,19.439130044718766,196.61458537739176,216.48320648611903,True,False
2024-02-02,187.91000366210938,13.600000000000001,22.029612195791955,195.03193415643133,214.63977404586035,True,False
2024-02-05,181.05999755859375,13.600000000000001,18.26497996489057,192.49158204773357,212.47333685313347,True,False
2024-02-06,185.10000610351562,13.600000000000001,24.99589649082931,191.14765914878484,210.70731551444845,True,False
2024-02-07,187.5800018310547,13.600000000000001,29.64823760977319,190.4989941819248,209.21523076068112,True,False
2024-02-08,189.55999755859375,16.50864896103489,31.562647316819934,190.32826752313733,207.94715119925615,True,False
2024-02-09,193.57000732421875,24.641669320263173,37.715765141189934,190.91767475969758,207.0195935298989,True,False
2024-02-12,188.1300048828125,18.97683990176389,34.34193555283592,190.41082569117302,205.80091039137722,True,False
2024-02-13,184.02000427246094,15.871452799907258,32.96609488611256,189.2488581604981,204.39569064176973,True,False
2024-02-14,188.7100067138672,37.39507090889171,56.15633794155991,189.15088517020155,203.38371103351795,False,False
2024-02-15,200.4499969482422,52.23518001601983,64.21486992579187,191.2052691298453,203.19443915704855,False,False
2024-02-16,199.9499969482422,47.700907373864574,58.45836501514861,192.7952196422811,202.9851203048675,False,False
2024-02-20,193.75999450683594,38.58671486146007,51.84366812340298,192.97063325401834,202.3899508985429,False,False
2024-02-21,194.77000427246094,43.35261603984564,56.73146796836851,193.2977916210079,201.89834143879568,False,False
2024-02-22,197.41000366210938,46.137804612368654,57.54900230511909,194.0454665375718,201.60877125965465,False,False
2024-02-23,191.97000122070312,39.36152045540699,53.32133168828744,193.66810920723202,200.9869151281094,False,False
2024-02-26,199.39999389648438,53.638171161149735,64.86223072075876,194.71027005982336,200.88453311316584,False,False
2024-02-27,199.72999572753906,52.25390455371971,62.61423369389751,195.6229474539535,200.81004683022218,False,False
2024-02-28,202.0399932861328,53.83736187172683,62.50431479020355,196.78968305980425,200.88939821447448,False,False
2024-02-29,201.8800048828125,52.54173018779289,61.00000653948103,197.71519611853302,200.9533083221092,False,False
2024-03-01,202.63999938964844,51.22501631039291,58.59715136404935,198.61061489509945,201.06212710066012,False,False
2024-03-04,188.13999938964844,34.5500759237883,50.008084864664305,196.70686662138107,200.2284414418852,False,False
2024-03-05,180.74000549316406,27.966556299704767,47.480798763920426,193.80380096170524,198.97112299358062,False,False
2024-03-06,176.5399932861328,21.536455548523012,40.581940731364014,190.66492683887387,197.5239533350356,True,False
2024-03-07,178.64999389648438,15.239572988890876,30.17460463275522,188.48039357662122,196.30627853254845,True,False
2024-03-08,175.33999633789062,13.600000000000001,28.70738581980686,186.09123044230657,194.95361516515118,True,False
2024-03-11,177.77000427246094,20.062950057394698,35.20267388891557,184.57828022960734,193.84499510755828,True,False
2024-03-12,177.5399932861328,19.598750136622723,33.82158592833039,183.29859169443014,192.793059506176,True,False
2024-03-13,169.47999572753906,13.600000000000001,26.197367644240032,180.78611970044994,191.2889908752962,True,False
2024-03-14,162.5,13.600000000000001,25.52731655618129,177.46137066400448,189.43163662527712,True,False
2024-03-15,163.57000732421875,13.600000000000001,16.731678262589412,174.93566823858887,187.76314441230562,True,False
2024-03-18,173.8000030517578,18.114503110266376,29.662750842524503,174.72918365916505,186.86229658259288,True,False
2024-03-19,171.32000732421875,16.865688129581965,25.969972745682156,174.10933341644753,185.85956824334295,True,False
2024-03-20,175.66000366210938,21.43371898450603,30.748899507551187,174.39127346111331,185.20153181874724,True,False
2024-03-21,172.82000732421875,19.17818977011507,28.754639004008638,174.10558870895065,184.4027237868422,True,False
2024-03-22,170.8300018310547,21.966612379708973,34.99220259391416,173.5100274584241,183.52706430582364,True,False
2024-03-25,172.6300048828125,29.395507463569153,42.21240916746008,173.35002335376745,182.8240282140165,False,False
2024-03-26,177.6699981689453,40.43782078813459,51.067855608203004,174.1354733201634,182.49151014659256,False,False
2024-03-27,179.8300018310547,42.38710975065847,51.1140556882344,175.17084214032545,182.3197999326869,False,False
2024-03-28,175.7899932861328,38.876991689659015,50.4190694727975,175.28341507592677,181.8985220845221,False,False
2024-04-01,175.22000122070312,36.59075752532525,47.54003187182029,175.2718852840679,181.46764977072735,False,False
2024-04-02,166.6300048828125,25.26850404576119,40.93704043313777,173.70063430202146,180.5103823586038,False,False
2024-04-03,168.3800048828125,33.3636158139019,48.97922136548063,172.73324713489254,179.72777736016567,False,False
2024-04-04,171.11000061035156,43.356430086031764,58.67419142697532,172.4381114031578,179.1717917634035,False,False
2024-04-05,164.89999389648438,33.27558819403005,51.21415632558702,171.0675445837626,178.25103061069905,False,False
2024-04-08,172.97999572753906,38.85822641295928,49.220821550446225,171.41526297354014,177.91096384404358,False,False
