date,value,cash,positions
2025-02-28 00:00:00-05:00,100000.0,100000.0,0
2025-03-03 00:00:00-05:00,100000.0,100000.0,0
2025-03-04 00:00:00-05:00,100000.0,100000.0,0
2025-03-05 00:00:00-05:00,100000.0,100000.0,0
2025-03-06 00:00:00-05:00,100000.0,100000.0,0
2025-03-07 00:00:00-05:00,100000.0,100000.0,0
2025-03-10 00:00:00-04:00,100000.0,100000.0,0
2025-03-11 00:00:00-04:00,100000.0,100000.0,0
2025-03-12 00:00:00-04:00,100000.0,100000.0,0
2025-03-13 00:00:00-04:00,100000.0,100000.0,0
2025-03-14 00:00:00-04:00,100000.0,100000.0,0
2025-03-17 00:00:00-04:00,100000.0,100000.0,0
2025-03-18 00:00:00-04:00,100000.0,100000.0,0
2025-03-19 00:00:00-04:00,100000.0,100000.0,0
2025-03-20 00:00:00-04:00,100000.0,100000.0,0
2025-03-21 00:00:00-04:00,100000.0,100000.0,0
2025-03-24 00:00:00-04:00,99980.07625026703,80056.32651729583,1
2025-03-25 00:00:00-04:00,100148.07609004974,80056.32651729583,1
2025-03-26 00:00:00-04:00,99339.57694454193,80056.32651729583,1
2025-03-27 00:00:00-04:00,98720.07678432464,80056.32651729583,1
2025-03-28 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-03-31 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-01 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-02 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-03 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-04 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-07 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-08 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-09 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-10 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-11 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-14 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-15 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-16 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-17 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-21 00:00:00-04:00,98101.76323070526,98101.76323070526,0
2025-04-22 00:00:00-04:00,98082.20483934783,78523.81348192596,1
2025-04-23 00:00:00-04:00,98256.1054130783,78523.81348192596,1
2025-04-24 00:00:00-04:00,99144.96881639861,78523.81348192596,1
2025-04-25 00:00:00-04:00,99211.86869499969,99211.86869499969,0
2025-04-28 00:00:00-04:00,99211.86869499969,99211.86869499969,0
2025-04-29 00:00:00-04:00,99211.86869499969,99211.86869499969,0
2025-04-30 00:00:00-04:00,99192.25584252167,79579.40336449433,1
2025-05-01 00:00:00-04:00,100687.80485375214,79579.40336449433,1
2025-05-02 00:00:00-04:00,101178.05143578339,79579.40336449433,1
2025-05-05 00:00:00-04:00,101222.21494896698,79579.40336449433,1
2025-05-06 00:00:00-04:00,101080.2990554123,79579.40336449433,1
2025-05-07 00:00:00-04:00,101060.78286736298,101060.78286736298,0
2025-05-08 00:00:00-04:00,101060.78286736298,101060.78286736298,0
2025-05-09 00:00:00-04:00,101060.78286736298,101060.78286736298,0
2025-05-12 00:00:00-04:00,101060.78286736298,101060.78286736298,0
2025-05-13 00:00:00-04:00,101060.78286736298,101060.78286736298,0
2025-05-14 00:00:00-04:00,101060.78286736298,101060.78286736298,0
2025-05-15 00:00:00-04:00,101060.78286736298,101060.78286736298,0
2025-05-16 00:00:00-04:00,101040.64601038361,80903.7890310135,1
2025-05-19 00:00:00-04:00,101042.50527857209,80903.7890310135,1
2025-05-20 00:00:00-04:00,101048.92761896516,80903.7890310135,1
2025-05-21 00:00:00-04:00,101076.8984014969,64750.455545661935,2
2025-05-22 00:00:00-04:00,101185.4932653885,64750.455545661935,2
2025-05-23 00:00:00-04:00,100912.12540650179,64750.455545661935,2
2025-05-27 00:00:00-04:00,101778.67565369417,64750.455545661935,2
2025-05-28 00:00:00-04:00,101659.44182050324,81234.94625318146,1
2025-05-29 00:00:00-04:00,101259.0802634964,81234.94625318146,1
2025-05-30 00:00:00-04:00,101637.13318097687,81234.94625318146,1
2025-06-02 00:00:00-04:00,101795.02635102844,81713.44309907532,1
2025-06-03 00:00:00-04:00,101673.79771333313,81713.44309907532,1
2025-06-04 00:00:00-04:00,102289.12512905884,65451.73738796997,2
2025-06-05 00:00:00-04:00,101793.51991970825,65451.73738796997,2
2025-06-06 00:00:00-04:00,102215.8666567688,69212.23573635865,2
2025-06-09 00:00:00-04:00,103247.64585446168,69212.23573635865,2
2025-06-10 00:00:00-04:00,103504.9154925232,69212.23573635865,2
2025-06-11 00:00:00-04:00,102864.41540859986,69212.23573635865,2
2025-06-12 00:00:00-04:00,102505.93617581177,69212.23573635865,2
2025-06-13 00:00:00-04:00,102094.15672634888,69212.23573635865,2
2025-06-16 00:00:00-04:00,103815.66614102173,69212.23573635865,2
2025-06-17 00:00:00-04:00,103810.53611325074,69212.23573635865,2
2025-06-18 00:00:00-04:00,103584.06620358277,69212.23573635865,2
2025-06-20 00:00:00-04:00,103542.52489236451,55406.65207437135,3
2025-06-23 00:00:00-04:00,103859.68240579225,72067.57457192994,2
2025-06-24 00:00:00-04:00,105339.5510081482,91013.5186595154,1
2025-06-25 00:00:00-04:00,105278.26658341981,72943.21941850282,2
2025-06-26 00:00:00-04:00,105695.09601329041,91060.39117930604,1
2025-06-27 00:00:00-04:00,105847.32926589967,59022.86874038697,3
2025-06-30 00:00:00-04:00,105779.54765481569,74006.12585610963,2
2025-07-01 00:00:00-04:00,105493.51017294313,59280.95989523317,3
2025-07-02 00:00:00-04:00,105669.60308370974,59280.95989523317,3
2025-07-03 00:00:00-04:00,106134.07219992067,59280.95989523317,3
2025-07-07 00:00:00-04:00,105871.58408651735,59280.95989523317,3
2025-07-08 00:00:00-04:00,105586.93490133669,59280.95989523317,3
2025-07-09 00:00:00-04:00,106139.30529835512,74211.47435047914,2
2025-07-10 00:00:00-04:00,106011.52121022035,74211.47435047914,2
2025-07-11 00:00:00-04:00,106050.48837330629,74211.47435047914,2
2025-07-14 00:00:00-04:00,106169.45030262758,74211.47435047914,2
2025-07-15 00:00:00-04:00,106009.66308106996,87675.31258668519,1
2025-07-16 00:00:00-04:00,105753.7027844391,87675.31258668519,1
2025-07-17 00:00:00-04:00,105809.592982193,87675.31258668519,1
2025-07-18 00:00:00-04:00,105991.842982193,87675.31258668519,1
2025-07-21 00:00:00-04:00,106248.61283387757,87675.31258668519,1
2025-07-22 00:00:00-04:00,106100.38268556214,87675.31258668519,1
