Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA10,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Std,BB_Upper,BB_Lower,Signal,Position
2025-09-12 00:00:00-04:00,370.94000244140625,396.69000244140625,370.239990234375,395.94000244140625,168156400,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0,0
2025-09-15 00:00:00-04:00,423.1300048828125,425.70001220703125,402.42999267578125,410.0400085449219,163823700,0.0,0.0,,,,,,1.124786811676472,0.22495736233529443,0.8998294493411777,,,,,0,0
2025-09-16 00:00:00-04:00,414.5,423.25,411.42999267578125,421.6199951171875,104285700,0.0,0.0,,,,,,2.9169715694763454,0.7633602037635047,2.1536113657128406,,,,,0,0
2025-09-17 00:00:00-04:00,415.75,428.30999755859375,409.6700134277344,425.8599853515625,106133500,0.0,0.0,,,,,,4.626095924688798,1.5359073479485634,3.0901885767402346,,,,,0,0
2025-09-18 00:00:00-04:00,428.8699951171875,432.2200012207031,416.55999755859375,416.8500061035156,90454500,0.0,0.0,414.06199951171874,,,,,5.193689642749632,2.2674638069087774,2.926225835840855,,,,,0,0
2025-09-19 00:00:00-04:00,421.82000732421875,429.4700012207031,421.7200012207031,426.07000732421875,93131000,0.0,0.0,420.08800048828124,,,,,6.314696902223716,3.0769104259717652,3.2377864762519506,,,,,0,0
2025-09-22 00:00:00-04:00,431.1099853515625,444.9800109863281,429.1300048828125,434.2099914550781,97108800,0.0,0.0,424.9219970703125,,,,,7.770360048692567,4.015600350515926,3.754759698176641,,,,,0,0
2025-09-23 00:00:00-04:00,439.8800048828125,440.9700012207031,423.7200012207031,425.8500061035156,83422700,0.0,0.0,425.76799926757815,,,,,8.155392342824769,4.843558748977695,3.3118335938470738,,,,,0,0
2025-09-24 00:00:00-04:00,429.8299865722656,444.2099914550781,429.0299987792969,442.7900085449219,93133600,0.0,0.0,429.15400390625,,,,,9.715456103150757,5.817938219812308,3.897517883338449,,,,,0,0
2025-09-25 00:00:00-04:00,435.239990234375,435.3500061035156,419.0799865722656,423.3900146484375,96746400,0.0,0.0,430.4620056152344,422.2620025634766,,,,9.279432970887228,6.510237170027292,2.7691958008599364,,,,,0,0
2025-09-26 00:00:00-04:00,428.29998779296875,440.4700012207031,421.0199890136719,440.3999938964844,101628200,0.0,0.0,433.3280029296875,426.7080017089844,,,,10.188992303335283,7.245988196688891,2.9430041066463923,,,,,0,0
2025-09-29 00:00:00-04:00,444.3500061035156,450.9800109863281,439.5,443.2099914550781,79491500,0.0,0.0,435.1280029296875,430.025,,,,11.0096554909436,7.998721655539833,3.010933835403768,,,,,0,0
2025-09-30 00:00:00-04:00,441.5199890136719,445.0,433.1199951171875,444.7200012207031,74358000,0.0,0.0,438.902001953125,432.3350006103516,,,,11.647615684863808,8.728500461404629,2.9191152234591797,,,,,0,0
2025-10-01 00:00:00-04:00,443.79998779296875,462.2900085449219,440.75,459.4599914550781,98122300,0.0,0.0,442.2359985351562,435.69500122070315,,,73.17234516816185,13.190545363357046,9.620909441795114,3.5696359215619324,,,,,0,0
2025-10-02 00:00:00-04:00,470.5400085449219,470.75,435.57000732421875,436.0,137009000,0.0,0.0,444.75799560546875,437.61000061035156,,,62.478203073965446,12.377621486975329,10.172251850831158,2.2053696361441713,,,,,0,0
2025-10-03 00:00:00-04:00,443.2900085449219,446.7699890136719,416.5799865722656,429.8299865722656,133188200,0.0,0.0,442.643994140625,437.9859985351562,,,56.48469440203389,11.107464997147815,10.35929448009449,0.7481705170533246,,,,,0,0
2025-10-06 00:00:00-04:00,440.75,453.54998779296875,436.69000244140625,453.25,85324900,0.0,0.0,444.65199584960936,439.88999938964844,,,59.61808004394919,11.854010527875516,10.658237689650695,1.195772838224821,,,,,0,0
2025-10-07 00:00:00-04:00,447.82000732421875,452.67999267578125,432.45001220703125,433.0899963378906,102296100,0.0,0.0,442.32599487304685,440.61399841308594,,,52.00443947559499,10.695617013059405,10.665713554332438,0.029903458726966647,,,,,0,0
2025-10-08 00:00:00-04:00,437.57000732421875,441.3299865722656,425.2300109863281,438.69000244140625,71192100,0.0,0.0,438.1719970703125,440.20399780273436,,,56.17158353209546,10.112880506711178,10.555146944808186,-0.4422664380970076,,,,,0,0
2025-10-09 00:00:00-04:00,431.80999755859375,436.3500061035156,426.17999267578125,435.5400085449219,69339900,0.0,0.0,438.0799987792969,441.4189971923828,431.8404998779297,,52.771113473012555,9.289792499947168,10.302076055835983,-1.0122835558888141,431.8404998779297,14.632822842974134,461.10614556387793,402.57485419198144,0,0
2025-10-10 00:00:00-04:00,436.5400085449219,443.1300048828125,411.45001220703125,413.489990234375,112107900,0.0,0.0,434.81199951171874,438.7279968261719,432.71799926757814,,44.39333224440289,6.780080578137472,9.597676960296281,-2.8175963821588095,432.71799926757814,12.774905432001704,458.26781013158154,407.16818840357473,0,0
2025-10-13 00:00:00-04:00,423.5299987792969,436.8900146484375,419.70001220703125,435.8999938964844,79552800,0.0,0.0,431.3419982910156,437.9969970703125,434.01099853515626,,52.52728132805711,6.5242087881911175,8.98298332587525,-2.458774537684132,434.01099853515626,11.614788331255482,457.2405751976672,410.7814218726453,-1,0
2025-10-14 00:00:00-04:00,426.7900085449219,434.20001220703125,417.8599853515625,429.239990234375,72669400,0.0,0.0,430.5719970703125,436.44899597167966,434.3919982910156,,46.406784143550276,5.718107135977277,8.330008087895655,-2.6119009519183773,434.3919982910156,11.307857514601855,457.00771332021935,411.7762832618119,0,0
