,date,value,price,cummax,drawdown,daily_return
0,2025-09-12 00:00:00-04:00,100000.0,395.94000244140625,100000.0,0.0,
1,2025-09-15 00:00:00-04:00,100000.0,410.0400085449219,100000.0,0.0,0.0
2,2025-09-16 00:00:00-04:00,100000.0,421.6199951171875,100000.0,0.0,0.0
3,2025-09-17 00:00:00-04:00,100000.0,425.8599853515625,100000.0,0.0,0.0
4,2025-09-18 00:00:00-04:00,100000.0,416.8500061035156,100000.0,0.0,0.0
5,2025-09-19 00:00:00-04:00,100000.0,426.07000732421875,100000.0,0.0,0.0
6,2025-09-22 00:00:00-04:00,100000.0,434.2099914550781,100000.0,0.0,0.0
7,2025-09-23 00:00:00-04:00,100000.0,425.8500061035156,100000.0,0.0,0.0
8,2025-09-24 00:00:00-04:00,100000.0,442.7900085449219,100000.0,0.0,0.0
9,2025-09-25 00:00:00-04:00,100000.0,423.3900146484375,100000.0,0.0,0.0
10,2025-09-26 00:00:00-04:00,100000.0,440.3999938964844,100000.0,0.0,0.0
11,2025-09-29 00:00:00-04:00,100000.0,443.2099914550781,100000.0,0.0,0.0
12,2025-09-30 00:00:00-04:00,100000.0,444.7200012207031,100000.0,0.0,0.0
13,2025-10-01 00:00:00-04:00,100000.0,459.4599914550781,100000.0,0.0,0.0
14,2025-10-02 00:00:00-04:00,100000.0,436.0,100000.0,0.0,0.0
15,2025-10-03 00:00:00-04:00,100000.0,429.8299865722656,100000.0,0.0,0.0
16,2025-10-06 00:00:00-04:00,100000.0,453.25,100000.0,0.0,0.0
17,2025-10-07 00:00:00-04:00,100000.0,433.0899963378906,100000.0,0.0,0.0
18,2025-10-08 00:00:00-04:00,100000.0,438.69000244140625,100000.0,0.0,0.0
19,2025-10-09 00:00:00-04:00,100000.0,435.5400085449219,100000.0,0.0,0.0
20,2025-10-10 00:00:00-04:00,100000.0,413.489990234375,100000.0,0.0,0.0
21,2025-10-13 00:00:00-04:00,100000.0,435.8999938964844,100000.0,0.0,0.0
22,2025-10-14 00:00:00-04:00,100000.0,429.239990234375,100000.0,0.0,0.0
23,2025-10-15 00:00:00-04:00,100000.0,435.1499938964844,100000.0,0.0,0.0
24,2025-10-16 00:00:00-04:00,100000.0,428.75,100000.0,0.0,0.0
25,2025-10-17 00:00:00-04:00,100000.0,439.30999755859375,100000.0,0.0,0.0
26,2025-10-20 00:00:00-04:00,100000.0,447.42999267578125,100000.0,0.0,0.0
